OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1998-067RN","REDEYE 3 (CABERNET)","45809","US","92.93","51.65","419","416","MEDIUM","0","1998-11-20",""
"2020-040B","OBJECT B","45808","PRC","603.21","28.39","34344","197","","0","2020-06-23",""
"2020-040B","OBJECT B","45808","PRC","603.27","28.40","34348","196","","0","2020-06-23",""
"2020-040A","OBJECT A","45807","PRC","631.52","28.42","35791","218","LARGE","0","2020-06-23",""
"2020-034E","CZ-2D DEB","45806","PRC","94.01","97.16","501","440","SMALL","0","2020-05-31",""
"2020-034E","CZ-2D DEB","45806","PRC","94.01","97.16","501","441","SMALL","0","2020-05-31",""
"2020-034D","CZ-2D DEB","45805","PRC","94.02","97.41","503","439","SMALL","0","2020-05-31",""
"2020-034C","CZ-2D DEB","45804","PRC","94.97","97.18","538","495","SMALL","0","2020-05-31",""
"2020-039G","CZ-2D DEB","45803","PRC","94.00","97.19","500","440","SMALL","0","2020-06-17",""
"2020-039F","CZ-2D DEB","45802","PRC","93.98","97.44","501","437","SMALL","0","2020-06-17",""
"2020-039E","CZ-2D DEB","45801","PRC","94.85","97.45","527","495","SMALL","0","2020-06-17",""
"1998-067RM","REDEYE 2 (MERLOT)","45800","US","92.92","51.64","419","417","MEDIUM","0","1998-11-20",""
"2020-038BS","FALCON 9 DEB","45798","US","89.77","53.00","322","204","MEDIUM","0","2020-06-13",""
"2020-038BS","FALCON 9 DEB","45798","US","89.80","53.00","325","205","MEDIUM","0","2020-06-13",""
"2020-039D","CZ-2D DEB","45797","PRC","94.58","97.22","506","490","SMALL","0","2020-06-17",""
"2020-039C","HEAD-5","45796","PRC","94.48","97.32","502","484","MEDIUM","0","2020-06-17",""
"2020-039B","ZHEDA PIXING 3A","45795","PRC","94.50","97.32","503","485","SMALL","0","2020-06-17",""
"2020-039A","GAOFEN 9 03","45794","PRC","94.46","97.32","503","482","LARGE","0","2020-06-17",""
"2020-038BR","FALCON 9 DEB","45793","US","89.82","53.00","327","204","MEDIUM","0","2020-06-13",""
"2020-038BR","FALCON 9 DEB","45793","US","89.85","53.00","330","204","MEDIUM","0","2020-06-13",""
"2020-038BQ","FALCON 9 DEB","45792","US","89.93","52.99","333","209","MEDIUM","0","2020-06-13",""
"2020-038BQ","FALCON 9 DEB","45792","US","89.95","52.99","335","209","MEDIUM","0","2020-06-13",""
"2020-038BP","FALCON 9 DEB","45791","US","89.92","52.99","334","207","MEDIUM","0","2020-06-13",""
"2020-038BP","FALCON 9 DEB","45791","US","89.95","52.99","337","207","MEDIUM","0","2020-06-13",""
"2020-038BN","SKYSAT C15","45790","US","91.36","53.00","378","304","LARGE","0","2020-06-13",""
"2020-038BM","SKYSAT C16","45789","US","91.50","53.00","377","319","MEDIUM","0","2020-06-13",""
"2020-038BL","SKYSAT C14","45788","US","91.37","53.00","375","308","MEDIUM","0","2020-06-13",""
"2020-038BK","STARLINK-1517","45787","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038BK","STARLINK-1517","45787","US","91.41","53.00","359","329","LARGE","0","2020-06-13",""
"2020-038BJ","STARLINK-1513","45786","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038BJ","STARLINK-1513","45786","US","91.41","53.00","359","329","LARGE","0","2020-06-13",""
"2020-038BH","STARLINK-1512","45785","US","91.56","53.00","362","340","LARGE","0","2020-06-13",""
"2020-038BH","STARLINK-1512","45785","US","91.42","53.00","359","330","LARGE","0","2020-06-13",""
"2020-038BG","STARLINK-1510","45784","US","91.53","53.00","360","339","LARGE","0","2020-06-13",""
"2020-038BG","STARLINK-1510","45784","US","91.40","52.99","358","329","LARGE","0","2020-06-13",""
"2020-038BF","STARLINK-1505","45783","US","91.54","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038BF","STARLINK-1505","45783","US","91.41","53.00","358","329","LARGE","0","2020-06-13",""
"2020-038BE","STARLINK-1498","45782","US","91.54","53.00","360","340","LARGE","0","2020-06-13",""
"2020-038BE","STARLINK-1498","45782","US","91.40","52.99","358","329","LARGE","0","2020-06-13",""
"2020-038BD","STARLINK-1497","45781","US","91.56","53.00","355","347","LARGE","0","2020-06-13",""
"2020-038BD","STARLINK-1497","45781","US","91.42","52.99","353","336","LARGE","0","2020-06-13",""
"2020-038BC","STARLINK-1496","45780","US","91.52","53.00","360","339","LARGE","0","2020-06-13",""
"2020-038BC","STARLINK-1496","45780","US","91.39","52.99","358","328","LARGE","0","2020-06-13",""
"2020-038BB","STARLINK-1492","45779","US","91.57","53.00","361","342","LARGE","0","2020-06-13",""
"2020-038BB","STARLINK-1492","45779","US","91.43","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038BA","STARLINK-1491","45778","US","91.57","53.00","361","342","LARGE","0","2020-06-13",""
"2020-038BA","STARLINK-1491","45778","US","91.43","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038AZ","STARLINK-1490","45777","US","91.54","53.00","360","339","MEDIUM","0","2020-06-13",""
"2020-038AZ","STARLINK-1490","45777","US","91.40","52.99","358","328","MEDIUM","0","2020-06-13",""
"2020-038AY","STARLINK-1489","45776","US","91.54","53.00","361","339","LARGE","0","2020-06-13",""
"2020-038AY","STARLINK-1489","45776","US","91.40","52.99","358","329","LARGE","0","2020-06-13",""
"2020-038AX","STARLINK-1488","45775","US","91.53","53.00","360","339","LARGE","0","2020-06-13",""
"2020-038AX","STARLINK-1488","45775","US","91.40","52.99","358","328","LARGE","0","2020-06-13",""
"2020-038AW","STARLINK-1485","45774","US","91.53","53.00","360","339","LARGE","0","2020-06-13",""
"2020-038AW","STARLINK-1485","45774","US","91.40","52.99","358","328","LARGE","0","2020-06-13",""
"2020-038AV","STARLINK-1482","45773","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038AV","STARLINK-1482","45773","US","91.41","52.99","359","329","LARGE","0","2020-06-13",""
"2020-038AU","STARLINK-1470","45772","US","91.56","53.00","361","341","LARGE","0","2020-06-13",""
"2020-038AU","STARLINK-1470","45772","US","91.42","53.00","358","330","LARGE","0","2020-06-13",""
"2020-038AT","STARLINK-1463","45771","US","91.57","53.00","361","342","LARGE","0","2020-06-13",""
"2020-038AT","STARLINK-1463","45771","US","91.43","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038AS","STARLINK-1462","45770","US","91.57","53.00","361","342","LARGE","0","2020-06-13",""
"2020-038AS","STARLINK-1462","45770","US","91.43","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038AR","STARLINK-1459","45769","US","92.00","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038AR","STARLINK-1459","45769","US","91.84","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038AQ","STARLINK-1521","45768","US","91.57","53.00","361","342","MEDIUM","0","2020-06-13",""
"2020-038AQ","STARLINK-1521","45768","US","91.43","52.99","359","330","MEDIUM","0","2020-06-13",""
"2020-038AP","STARLINK-1511","45767","US","91.53","52.99","360","339","LARGE","0","2020-06-13",""
"2020-038AP","STARLINK-1511","45767","US","91.40","52.99","358","328","LARGE","0","2020-06-13",""
"2020-038AN","STARLINK-1509","45766","US","91.54","53.00","360","340","LARGE","0","2020-06-13",""
"2020-038AN","STARLINK-1509","45766","US","91.40","52.99","357","329","LARGE","0","2020-06-13",""
"2020-038AM","STARLINK-1508","45765","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038AM","STARLINK-1508","45765","US","91.41","53.00","358","329","LARGE","0","2020-06-13",""
"2020-038AL","STARLINK-1502","45764","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038AL","STARLINK-1502","45764","US","91.41","53.00","358","329","LARGE","0","2020-06-13",""
"2020-038AK","STARLINK-1501","45763","US","91.54","53.00","361","339","LARGE","0","2020-06-13",""
"2020-038AK","STARLINK-1501","45763","US","91.40","53.00","359","328","LARGE","0","2020-06-13",""
"2020-038AJ","STARLINK-1499","45762","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038AJ","STARLINK-1499","45762","US","91.41","52.99","359","329","LARGE","0","2020-06-13",""
"2020-038AH","STARLINK-1495","45761","US","91.54","53.00","360","340","LARGE","0","2020-06-13",""
"2020-038AH","STARLINK-1495","45761","US","91.41","53.00","358","329","LARGE","0","2020-06-13",""
"2020-038AG","STARLINK-1494","45760","US","91.57","53.00","362","342","LARGE","0","2020-06-13",""
"2020-038AG","STARLINK-1494","45760","US","91.43","53.00","359","330","LARGE","0","2020-06-13",""
"2020-038AF","STARLINK-1493","45759","US","91.57","53.00","362","342","LARGE","0","2020-06-13",""
"2020-038AF","STARLINK-1493","45759","US","91.43","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038AE","STARLINK-1487","45758","US","91.53","53.00","360","340","LARGE","0","2020-06-13",""
"2020-038AE","STARLINK-1487","45758","US","91.40","52.99","357","329","LARGE","0","2020-06-13",""
"2020-038AD","STARLINK-1486","45757","US","91.54","53.00","360","340","LARGE","0","2020-06-13",""
"2020-038AD","STARLINK-1486","45757","US","91.41","52.99","358","329","LARGE","0","2020-06-13",""
"2020-038AC","STARLINK-1484","45756","US","91.58","53.00","361","343","LARGE","0","2020-06-13",""
"2020-038AC","STARLINK-1484","45756","US","91.44","53.00","359","331","LARGE","0","2020-06-13",""
"2020-038AB","STARLINK-1478","45755","US","91.53","53.00","360","339","LARGE","0","2020-06-13",""
"2020-038AB","STARLINK-1478","45755","US","91.39","52.99","358","328","LARGE","0","2020-06-13",""
"2020-038AA","STARLINK-1477","45754","US","91.57","53.00","361","341","LARGE","0","2020-06-13",""
"2020-038AA","STARLINK-1477","45754","US","91.43","53.00","358","331","LARGE","0","2020-06-13",""
"2020-038Z","STARLINK-1476","45753","US","91.56","53.00","361","341","LARGE","0","2020-06-13",""
"2020-038Z","STARLINK-1476","45753","US","91.42","53.00","358","330","LARGE","0","2020-06-13",""
"2020-038Y","STARLINK-1469","45752","US","91.56","53.00","361","341","LARGE","0","2020-06-13",""
"2020-038Y","STARLINK-1469","45752","US","91.42","53.00","359","330","LARGE","0","2020-06-13",""
"2020-038X","STARLINK-1464","45751","US","91.55","53.00","361","340","LARGE","0","2020-06-13",""
"2020-038X","STARLINK-1464","45751","US","91.41","53.00","358","329","LARGE","0","2020-06-13",""
"2020-038W","STARLINK-1391","45750","US","91.56","53.00","360","341","LARGE","0","2020-06-13",""
"2020-038W","STARLINK-1391","45750","US","91.42","53.00","358","330","LARGE","0","2020-06-13",""
"2020-038V","STARLINK-1516","45749","US","91.97","53.00","374","369","MEDIUM","0","2020-06-13",""
"2020-038V","STARLINK-1516","45749","US","91.83","53.00","365","363","MEDIUM","0","2020-06-13",""
"2020-038U","STARLINK-1507","45748","US","91.98","53.00","374","369","LARGE","0","2020-06-13",""
"2020-038U","STARLINK-1507","45748","US","91.84","53.00","365","364","LARGE","0","2020-06-13",""
"2020-038T","STARLINK-1506","45747","US","91.98","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038T","STARLINK-1506","45747","US","91.84","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038S","STARLINK-1504","45746","US","91.99","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038S","STARLINK-1504","45746","US","91.84","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038R","STARLINK-1503","45745","US","91.98","53.00","374","369","LARGE","0","2020-06-13",""
"2020-038R","STARLINK-1503","45745","US","91.83","53.00","365","364","LARGE","0","2020-06-13",""
"2020-038Q","STARLINK-1500","45744","US","91.98","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038Q","STARLINK-1500","45744","US","91.84","53.00","365","364","LARGE","0","2020-06-13",""
"2020-038P","STARLINK-1483","45743","US","92.00","53.00","375","371","LARGE","0","2020-06-13",""
"2020-038P","STARLINK-1483","45743","US","91.86","53.00","366","365","LARGE","0","2020-06-13",""
"2020-038N","STARLINK-1481","45742","US","91.99","53.00","374","370","MEDIUM","0","2020-06-13",""
"2020-038N","STARLINK-1481","45742","US","91.84","53.00","366","364","MEDIUM","0","2020-06-13",""
"2020-038M","STARLINK-1480","45741","US","91.99","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038M","STARLINK-1480","45741","US","91.85","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038L","STARLINK-1479","45740","US","91.98","53.00","374","369","MEDIUM","0","2020-06-13",""
"2020-038L","STARLINK-1479","45740","US","91.83","53.00","365","364","MEDIUM","0","2020-06-13",""
"2020-038K","STARLINK-1475","45739","US","91.99","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038K","STARLINK-1475","45739","US","91.84","53.00","365","364","LARGE","0","2020-06-13",""
"2020-038J","STARLINK-1474","45738","US","92.00","53.00","375","371","LARGE","0","2020-06-13",""
"2020-038J","STARLINK-1474","45738","US","91.85","53.00","366","365","LARGE","0","2020-06-13",""
"2020-038H","STARLINK-1473","45737","US","91.99","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038H","STARLINK-1473","45737","US","91.84","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038G","STARLINK-1472","45736","US","92.00","53.00","375","370","LARGE","0","2020-06-13",""
"2020-038G","STARLINK-1472","45736","US","91.85","53.00","366","365","LARGE","0","2020-06-13",""
"2020-038F","STARLINK-1471","45735","US","91.98","53.00","374","369","MEDIUM","0","2020-06-13",""
"2020-038F","STARLINK-1471","45735","US","91.83","53.00","365","364","MEDIUM","0","2020-06-13",""
"2020-038E","STARLINK-1468","45734","US","91.99","53.00","374","370","LARGE","0","2020-06-13",""
"2020-038E","STARLINK-1468","45734","US","91.84","53.00","366","364","LARGE","0","2020-06-13",""
"2020-038D","STARLINK-1467","45733","US","91.91","53.00","371","366","LARGE","0","2020-06-13",""
"2020-038D","STARLINK-1467","45733","US","91.76","53.00","370","352","LARGE","0","2020-06-13",""
"2020-038C","STARLINK-1466","45732","US","92.00","53.00","375","370","LARGE","0","2020-06-13",""
